#,Job_ID,ModelFile,@@n50@@,@@TURN@@,@@flag_AW@@,@@EXT_WALL@@,@@EXT_ROOF@@,@@EXT_WINDOW_street@@,@@EXT_WINDOW_patio@@,@@M04_WALL@@,@@AI02_ROOF@@,Message,Errors,Warnings,Calculation Time,Trace %Time,Trace Components
49,P211_90_W8_R8,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.08,TRNSYS Completed Successfully,0,31,696.3700 Seconds,0.00%,-
64,P212_0_W8_R10,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,TRNSYS Completed Successfully,0,30,710.6800 Seconds,0.00%,-
66,P212_180_W8_R10,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,TRNSYS Completed Successfully,0,31,708.6800 Seconds,0.00%,-
67,P212_270_W8_R10,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,TRNSYS Completed Successfully,0,31,707.6400 Seconds,0.00%,-
65,P212_90_W8_R10,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,TRNSYS Completed Successfully,0,31,708.6600 Seconds,0.00%,-
68,P221_0_W6_R5,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,TRNSYS Completed Successfully,0,30,704.3700 Seconds,0.00%,-
72,P221_0_W8_R5,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,TRNSYS Completed Successfully,0,30,689.6600 Seconds,0.00%,-
70,P221_180_W6_R5,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,TRNSYS Completed Successfully,0,31,698.9600 Seconds,0.00%,-
74,P221_180_W8_R5,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,TRNSYS Completed Successfully,0,31,685.2700 Seconds,0.00%,-
71,P221_270_W6_R5,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,TRNSYS Completed Successfully,0,31,698.7300 Seconds,0.00%,-
